id,region,keyEvent,name,sales,cost,sector
1,1,Тренинг Март 2019,Дилер 1,162,"18607,00",2
2,1,Тренинг Март 2019,Топ Карс Калуга,178,"10883,82",1
3,1,,Хит Моторс Славянка,85,"15659,24",2
4,1,,Бест Карс Москва,76,"8714,38",3
5,1,Тренинг Март 2019,МоторСпорт,511,"15501,25",1
6,1,Тренинг Март 2019,Хит Моторс Советская,380,"1729,48",0
7,1,Тренинг Март 2019,Кар Премиум Восток,38,"6134,58",3
8,1,,Хит Моторс Заречье,42,"2373,81",3
9,1,Тренинг Март 2019,Хит Моторс Химки,64,"13918,91",2
10,1,,Авто Центр Сколково,363,"19245,57",1
11,1,Тренинг Март 2019,Кар Премиум Нижний,341,"11485,90",1
12,1,,Дилер 12,210,"13443,43",1
13,1,,Бест Карс Юг,341,"10071,57",1
14,1,Тренинг Март 2019,Кар Премиум Запад,132,"23157,61",2
15,1,,Макси Моторс,363,"21066,89",1
16,1,Тренинг Март 2019,Хит Моторс Юг,93,"24581,89",2
17,1,,АвтоСтиль Ярославка,254,"12851,36",1
18,1,,Лакшери Моторс,137,"25311,98",2
19,2,,Кар Премиум Восток,1013,"12470,97",1
20,2,,Топ Моторс Ростов,60,"6969,87",3
21,2,Тренинг Март 2019,Дилер 21,79,"9498,99",3
22,2,,Хит Моторс Центр,1554,"7184,84",0
23,2,,Дилер 23,138,"8447,99",3
24,2,,Кар Премиум Охта,113,"9967,72",3
25,2,Тренинг Март 2019,Дилер 25,107,"8141,73",3
26,2,,Дилер 26,103,"6172,97",3
27,2,Тренинг Март 2019,Дилер 27,100,"6908,01",3
28,2,,Дилер 28,34,"15510,41",2
29,2,,Дилер 29,96,"4520,85",3
30,2,,Дилер 30,228,"7312,23",0
31,2,Тренинг Март 2019,Дилер 31,129,"2549,89",3
32,2,Тренинг Март 2019,Авто Центр Сочи,171,"4624,77",0
33,2,,АвтоСтиль Дубровка,207,"14295,43",1
34,2,,Лайм Моторс Кировск,143,"5172,48",3
35,2,,Дилер 35,105,"6709,51",3
36,2,Тренинг Март 2019,Радиатор Моторс,585,"9740,91",0
37,2,,АвтоСтиль Реутов,158,"11981,05",2
38,2,,АвтоСтиль Балашиха,96,"6734,90",3
39,3,,Дилер 39,53,"3624,47",3
40,3,Тренинг Март 2019,Дилер 40,126,"8993,23",3
41,3,,Дилер 41,105,"12916,38",2
42,3,Тренинг Март 2019,Авто Центр Мытищи,178,"4109,87",0
43,3,Тренинг Март 2019,Дилер 43,60,"11421,37",2
44,3,,Лайм Моторс Белгород,236,"18972,15",1
45,3,,Дилер 45,65,"8747,59",3
46,3,Тренинг Март 2019,Дилер 46,124,"9736,12",3
47,3,,Дилер 47,60,"3630,39",3
48,4,,Дилер 48,264,"7845,09",0
49,4,,Дилер 49,62,"6549,65",3
50,4,Тренинг Март 2019,Дилер 50,86,"22311,04",2
51,4,,АвтоСтиль Тверь,160,"3189,73",3
52,4,,Дилер 52,65,"11621,10",2
53,4,Тренинг Март 2019,Дилер 53,43,"8718,67",3
54,4,,Топ Карс Отрадное,353,"5490,42",0
55,4,,Дилер 55,84,"6235,56",3
56,4,Тренинг Март 2019,Хит Моторс Северо-Запад,53,"18450,51",2
57,4,Тренинг Март 2019,Дилер 57,106,"7692,06",3
58,4,,Дилер 58,81,"6694,18",3
59,4,,Дилер 59,90,"9198,30",3
60,4,,Дилер 60,116,"8087,86",3
61,4,Тренинг Март 2019,Дилер 61,27,"13606,88",2
62,4,,Авто Центр Воронеж,79,"20714,89",2
63,4,,Дилер 63,36,"8074,42",3
64,5,Тренинг Март 2019,Дилер 64,80,"16609,68",2
65,5,Тренинг Март 2019,Дилер 65,38,"10012,03",2
66,5,Тренинг Март 2019,Дилер 66,66,"4885,38",3
67,5,Тренинг Март 2019,Дилер 67,89,"4630,18",3
68,5,Тренинг Март 2019,Дилер 68,63,"5953,29",3
69,6,,Дилер 69,90,"7993,34",3
70,6,,Лайм Моторс Казань,270,"7510,62",0
71,6,Тренинг Март 2019,Дилер 71,80,"8330,84",3
72,6,,Дилер 72,65,"18911,62",2
73,6,,Дилер 73,49,"10571,77",2
74,6,,Дилер 74,75,"12376,56",2
75,6,,Дилер 75,124,"4293,13",3
76,6,Тренинг Март 2019,Дилер 76,120,"12484,00",2
77,6,Тренинг Март 2019,Хит Моторс Юг,47,"7121,34",3
78,6,,Лайм Моторс Всеволожск,178,"4144,73",0
